Day,Group,Exercise,Minutes,Calories Burned
2024-02-13,Uncategorized,Video Group Classes,35.0,-118.35
2024-02-14,Uncategorized,Video Group Classes,30.0,-103.73
2024-02-15,Uncategorized,Resistance Training,30.0,-85.85
2024-02-16,Uncategorized,Video Group Classes,30.0,-103.73
2024-02-17,Uncategorized,Resistance Training,30.0,-85.85
2024-02-17,Uncategorized,General Walking,24.0,-103.96
2024-02-18,Uncategorized,Running General,34.0,-135.65
2024-02-19,Uncategorized,Resistance Training,30.0,-85.85
2024-02-20,Uncategorized,Video Group Classes,30.0,-103.73
2024-02-21,Uncategorized,General Walking,41.0,-177.59
2024-02-21,Uncategorized,Video Group Classes,20.0,-68.39
2024-02-23,Uncategorized,Video Group Classes,35.0,-119.69
2024-02-24,Uncategorized,General Walking,54.0,-233.9
2024-02-24,Uncategorized,Resistance Training,30.0,-85.85
2024-02-29,Uncategorized,Video Group Classes,35.0,-119.69
2024-03-01,Uncategorized,Video Group Classes,12.0,-41.04
2024-03-01,Uncategorized,Resistance Training,30.0,-85.85
2024-03-03,Uncategorized,Resistance Training,30.0,-85.85
2024-03-03,Uncategorized,General Walking,45.0,-196.28
2024-03-04,Uncategorized,Video Group Classes,25.0,-86.09
2024-03-06,Uncategorized,Video Group Classes,35.0,-120.52
2024-03-08,Uncategorized,Video Group Classes,35.0,-120.52
2024-03-09,Uncategorized,Resistance Training,30.0,-85.85
2024-03-11,Uncategorized,Video Group Classes,35.0,-120.52
2024-03-14,Uncategorized,Video Group Classes,35.0,-120.52
2024-03-16,Uncategorized,Video Group Classes,35.0,-120.52
2024-03-16,Uncategorized,Resistance Training,30.0,-85.85
2024-03-17,Uncategorized,General Walking,45.0,-195.19
2024-03-20,Uncategorized,Video Group Classes,30.0,-104.16
2024-03-20,Uncategorized,Resistance Training,30.0,-85.85
2024-03-21,Uncategorized,Resistance Training,30.0,-85.85
2024-03-22,Uncategorized,Video Group Classes,30.0,-104.16
2024-03-23,Uncategorized,General Walking,36.0,-156.59
2024-03-23,Uncategorized,Resistance Training,30.0,-85.85
2024-03-25,Uncategorized,Video Group Classes,30.0,-104.16
2024-03-26,Uncategorized,Resistance Training,30.0,-85.85
2024-03-27,Uncategorized,Video Group Classes,20.0,-68.68
2024-03-29,Uncategorized,Resistance Training,30.0,-85.85
2024-03-30,Uncategorized,Resistance Training,30.0,-85.85
2024-03-30,Uncategorized,General Walking,32.0,-140.54
2024-03-31,Uncategorized,General Walking,38.0,-166.89
2024-04-01,Uncategorized,Video Group Classes,25.0,-86.68
2024-04-02,Uncategorized,Resistance Training,30.0,-85.85
2024-04-05,Uncategorized,Resistance Training,20.0,-57.79
2024-04-05,Uncategorized,Resistance Training,30.0,-86.68
2024-04-05,Uncategorized,General Walking,31.0,-136.15
2024-04-06,Uncategorized,General Walking,23.0,-101.01
2024-04-07,Uncategorized,Resistance Training,30.0,-86.68
2024-04-08,Uncategorized,Video Group Classes,30.0,-104.02
2024-04-10,Uncategorized,Video Group Classes,30.0,-104.02
2024-04-10,Uncategorized,Resistance Training,30.0,-86.68
2024-04-11,Uncategorized,General Walking,32.0,-140.54
2024-04-12,Uncategorized,Video Group Classes,30.0,-104.02
2024-04-13,Uncategorized,Resistance Training,30.0,-86.68
2024-04-13,Uncategorized,General Walking,30.0,-130.85
2024-04-14,Uncategorized,General Walking,42.0,-183.19
2024-04-15,Uncategorized,Resistance Training,30.0,-86.68
2024-04-15,Uncategorized,General Walking,48.0,-209.36
2024-04-17,Uncategorized,Video Group Classes,30.0,-104.02
2024-04-17,Uncategorized,Resistance Training,30.0,-86.68
2024-04-19,Uncategorized,Resistance Training,30.0,-86.68
2024-04-19,Uncategorized,Video Group Classes,20.0,-68.87
2024-04-22,Uncategorized,Video Group Classes,30.0,-105.3
2024-04-23,Uncategorized,Resistance Training,30.0,-86.68
2024-04-24,Uncategorized,Video Group Classes,30.0,-105.3
2024-04-26,Uncategorized,Resistance Training,30.0,-86.68
2024-04-27,Uncategorized,Video Group Classes,30.0,-105.3
2024-04-28,Uncategorized,General Walking,42.0,-184.46
2024-04-29,Uncategorized,Video Group Classes,30.0,-105.3
2024-04-30,Uncategorized,General Walking,33.0,-144.93
2024-05-01,Uncategorized,Video Group Classes,30.0,-105.3
2024-05-01,Uncategorized,Resistance Training,30.0,-86.68
2024-05-03,Uncategorized,Video Group Classes,30.0,-105.3
2024-05-04,Uncategorized,Running General,55.0,-224.01
2024-05-05,Uncategorized,Resistance Training,30.0,-86.68
2024-05-06,Uncategorized,Resistance Training,20.0,-58.18
2024-05-07,Uncategorized,General Walking,28.0,-123.82
2024-05-08,Uncategorized,Resistance Training,30.0,-87.28
2024-05-09,Uncategorized,Video Group Classes,30.0,-105.3
2024-05-10,Uncategorized,Video Group Classes,30.0,-105.3
2024-05-11,Uncategorized,General Walking,37.0,-161.83
2024-05-13,Uncategorized,General Walking,45.0,-196.82
2024-05-14,Uncategorized,Resistance Training,30.0,-87.28
2024-05-15,Uncategorized,General Walking,35.0,-153.08
2024-05-16,Uncategorized,Resistance Training,30.0,-87.28
2024-05-17,Uncategorized,Resistance Training,30.0,-87.28
2024-05-19,Uncategorized,General Walking,35.0,-154.14
2024-05-21,Uncategorized,Resistance Training,45.0,-130.38
2024-05-22,Uncategorized,General Walking,35.0,-154.14
2024-05-23,Uncategorized,Resistance Training,30.0,-86.92
2024-05-24,Uncategorized,Resistance Training,30.0,-86.92
2024-05-25,Uncategorized,General Walking,38.0,-165.97
2024-05-26,Uncategorized,General Walking,65.0,-149.42
2024-05-27,Uncategorized,Resistance Training,45.0,-129.31
2024-05-28,Uncategorized,Resistance Training,20.0,-57.47
2024-05-28,Uncategorized,General Walking,33.0,-144.14
2024-05-29,Uncategorized,General Walking,20.0,-87.35
2024-05-29,Uncategorized,Resistance Training,40.0,-114.94
2024-05-30,Uncategorized,Resistance Training,20.0,-57.47
